incident_id,source_system,source_article,incident_day,target_text,target_country_guess,actor,strike_type,damage_confirmed,energy_relevant,target_lat,target_lon,description,source_urls
iransm_s009,iranstrikemap,https://iranstrikemap.com,2026-02-28,Bushehr — Adjacent Military Facilities,Iran,US,airstrike,FALSE,TRUE,28.8316,50.8879,Explosions reported near Bushehr port city but NO confirmed direct strikes on reactor. Rosatom evacuated ~100 staff. Significant radiological and diplomatic risk (Russian personnel on-site). Per CSIS: unclear if dismantling reactor is a US/Israel priority.,BBC | Reuters | AP
iransm_s016,iranstrikemap,https://iranstrikemap.com,2026-02-28,Chabahar Port — Military Facilities,,US,airstrike,TRUE,TRUE,25.2854,60.6437,"Explosions reported near Chabahar port, Iran's only deep-water port on the Indian Ocean.",OSINTtechnical (X) | TWZ
iransm_s038,iranstrikemap,https://iranstrikemap.com,2026-02-28,Collateral Damage — Missile Debris,,Iran,missile,TRUE,FALSE,32.7128,36.5667,"5 killed and several wounded in Suwayda, Syria from missile debris or collateral damage during Iranian strikes.",Wikipedia | Guardian
iransm_s042,iranstrikemap,https://iranstrikemap.com,2026-02-28,Damavand — Military Targets,,unknown,airstrike,TRUE,TRUE,35.71,52.07,"Strikes reported in Damavand, east of Tehran. Known location of underground missile storage facilities.",Al Jazeera | Fars News
iransm_s021,iranstrikemap,https://iranstrikemap.com,2026-02-28,Girls Primary School,,unknown,airstrike,TRUE,FALSE,27.19,57.08,"Strike hit a girls primary school (Shajareh Tayyebeh school, Minab, Hormozgan Province). Death toll rose from initial 36 → 51 → 57 → 85 → 115 → 148 → now 165 killed per IRNA/Guardian (March 1, ~3 PM ET) citing Iranian state media; IRNA also cites local prosecutor at 165. 96 wounded (updated from 95). Children aged 7-12. School located next to IRGC barracks per Guardian. Washington Post verified footage of destroyed school. ~170 students present during class period change at 10:45 IRST. Perpetrator disputed — Iran attributes to US-Israel airstrike; other claims unresolved. Verified by NYT, Reuters, AP, Al Jazeera, Guardian, IRNA.",Al Jazeera | Reuters | AP | Tasnim | NPR
wiki_20260228_hamad_international_airport_77,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Qatar,2026-02-28,Hamad International Airport,Qatar,US/Israel,unknown,FALSE,TRUE,,,"According to the Associated Press, Doha's Hamad International Airport experienced disruptions following the closure of Qatari airspace on 28 February 2026. Flight cancellations were reported as a result, and countries such as Israel and the United Arab Emirates closed their respective airspaces the same day. On 7 March, the Qatar Civil Aviation Authority (QCAA) announced a reopening of air navigation under limited emergency conditions, allowing for passenger evacuation and cargo flights, with standard commercial flights remaining suspended.",https://apnews.com/video/disruption-at-qatars-doha-airport-as-attack-on-iran-affects-flights-across-middle-east-and-beyond-f96b624323634b7bbe421440bf8031ca | https://web.archive.org/web/20260301215239/https://apnews.com/video/disruption-at-qatars-doha-airport-as-attack-on-iran-affects-flights-across-middle-east-and-beyond-f96b624323634b7bbe421440bf8031ca | https://gulfnews.com/world/gulf/qatar/qatar-reopens-air-navigation-with-restricted-capacity-1.500466223 | https://web.archive.org/web/20260311055237/https://gulfnews.com/world/gulf/qatar/qatar-reopens-air-navigation-with-restricted-capacity-1.500466223
iransm_s002,iranstrikemap,https://iranstrikemap.com,2026-02-28,IRGC Headquarters,Iran,unknown,airstrike,TRUE,TRUE,35.7219,51.4062,Coordinated US-Israel strike on IRGC central command. Several senior IRGC commanders reported killed.,Reuters | AP | Saberin News TG
iransm_s084,iranstrikemap,https://iranstrikemap.com,2026-02-28,"IRIS Shahid Bagheri — IRGCN Drone Carrier, Bandar Abbas Roads",Iran,US,airstrike,TRUE,FALSE,27.11,56.2,"US forces struck Iranian IRGC Navy drone carrier IRIS Shahid Bagheri (C110-4) in the Bandar Abbas roads (approximately 4 nautical miles south of the harbor) during the opening hours of Operation Epic Fury on Feb 28. CENTCOM confirmed on March 2: 'The Iranian regime's false messaging machine continues to falsely claim that it has sunk a US aircraft carrier. The only carrier that has been hit is the Shahid Bagheri, an Iranian drone carrier. US forces struck the ship within hours of launching Operation Epic Fury.' The Shahid Bagheri is a converted container ship with an angled flight deck and ski-jump designed for drone operations — converted from the container ship Perarin in 2022-24. Its sister ship IRIS Shahid Mahdavi (C110-3) was also anchored nearby. Final status of the vessel (sunk/damaged) not yet confirmed by CENTCOM beyond 'struck.'","US CENTCOM official statement (March 2, 2026) | CBS News Day 3 liveblog (March 2, 2026) | Times of Israel liveblog (March 2, 2026) | MarineInsight (vessel position data)"
iransm_s041,iranstrikemap,https://iranstrikemap.com,2026-02-28,Ilam — Military Targets,,unknown,airstrike,TRUE,TRUE,33.6374,46.4227,"Strikes reported in Ilam, western Iran near Iraqi border. IRGC facilities in the area.",Al Jazeera | Fars News
iransm_s027,iranstrikemap,https://iranstrikemap.com,2026-02-28,Iran Atomic Energy Agency Headquarters,Iran,US,airstrike,FALSE,TRUE,35.6994,51.338,Unconfirmed reports of US strikes on IAEA headquarters in Tehran. Part of targeting peripheral nuclear capabilities and administrative hubs.,Fox News | CSIS
wiki_20260228_iranian_missile_hits_us_base_93,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Bahrain,2026-02-28,Iranian Missile Hits US Base,Iran,Iran,missile,TRUE,FALSE,,,| video1 = [https://www.youtube.com/shorts/WuVZdCFOj9c Moment Iranian Missile Hits US Base in Bahrain],https://www.washingtonpost.com/investigations/2026/02/28/where-us-attack-iran-images-video/
wiki_20260228_isfahan_149,wikipedia,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war,2026-02-28,Isfahan,Iran,Iran,airstrike,TRUE,TRUE,32.65,51.68,"The Fars News Agency and CNN reported more explosions across other cities in Iran, including Qom, Kermanshah, Isfahan, and Karaj. In Tehran, missile strikes were reported to have occurred on University Street, in the Jomhouri area, and in the northern Seyed Khandan area. At 07:15 UTC, The Shajareh Tayyebeh girls' elementary school in Minab, Iran, is struck by a missile. Iranian media reported 180 killed. A sports hall in Lamerd was bombed during a girls' practice, killing at least 18 civilians, according to witnesses and Iranian state media. The IRGC reports that the port city of Bushehr had also been struck; however, it was unclear whether the nuclear reactor had sustained any damage. Rafael Mariano Grossi, the U.N. nuclear watchdog chief stated that no evidence has been found that nuclear facilities have been hit from these attacks.",https://www.wsj.com/world/middle-east/why-the-u-s-and-israel-struck-iran-when-they-did-a-chance-to-kill-its-leaders-b0dbbc88 | https://www.nytimes.com/live/2026/02/28/world/iran-strikes-trump/c913328f-5d1c-5841-af49-5b94acc97324?smid=url-share | https://www.cnn.com/world/live-news/israel-iran-attack-02-28-26-hnk-intl?post-id=cmm5zbxlf00053b6pfbdgp516 | https://www.aljazeera.com/news/2026/2/28/explosions-in-downtown-tehran-smoke-seen-rising | https://www.ft.com/content/055d7ee1-0002-4d86-931f-18f4687d4f8b | https://www.middleeasteye.net/live-blog/live-blog-update/death-toll-israeli-strike-iran-girls-school-rises-180 | https://www.theguardian.com/world/2026/mar/01/iran-school-bombing-death-toll-us-israel-strikes | https://www.aljazeera.com/news/2026/2/28/israel-strikes-two-schools-in-iran-killing-more-than-50-people | https://www.dropsitenews.com/p/iran-lamerd-sports-hall-teenage-girls-killed-us-israel-war | https://www.iranintl.com/en/liveblog/202602288143 | https://www.cbsnews.com/live-updates/us-iran-war-israel-supreme-leader-khamenei-funeral-day-2/ | https://www.cnn.com/world/live-news/israel-iran-attack-02-28-26-hnk-intl?post-id=cmm60wotj001m3b6pawhvknhc
wiki_20260228_israel_declared_a_state_of_eme_159,wikipedia,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war,2026-02-28,"Israel declared a state of emergency, citing expectation of an Iranian attack. S",Iran,Iran,unknown,FALSE,FALSE,,,"Israel declared a state of emergency, citing expectation of an Iranian attack. Sirens blared in Israel as the government warned its citizens to remain in protected areas. The Israeli Ministry of Health moved its hospital operations underground. Israel called up 20,000 reservists in addition to the 50,000 already on duty.",https://www.wsj.com/livecoverage/iran-strikes-2026/card/israel-hacked-popular-iranian-prayer-app-to-urge-defections-resistance-wtYyb29CmKrTXoJBIV3C | https://www.cnn.com/2026/02/28/middleeast/israel-attack-iran-intl-hnk?post-id=cmm5xzk1y00003b6pin7tql07 | https://www.aljazeera.com/news/liveblog/2026/2/28/live-israel-launches-attacks-on-iran-multiple-explosions-heard-in-tehran | https://www.cnn.com/world/live-news/israel-iran-attack-02-28-26-hnk-intl?post-id=cmm5zx2ic00003b6rvnargvaq | https://www.timesofisrael.com/liveblog_entry/israel-calls-up-20000-reservists-in-addition-to-the-50000-reservists-currently-on-duty/
wiki_20260228_israel_warned_iranian_civilian_151,wikipedia,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war,2026-02-28,Israel warned Iranian civilians residing near military industries and infrastruc,Iran,Iran,ballistic_missile,TRUE,FALSE,,,"Israel warned Iranian civilians residing near military industries and infrastructure to evacuate immediately, stating ""Your presence in these areas puts your life at risk."" The attacks also used about 200 Israeli fighter jets, in the largest combat sortie in Israel's history, and the newly developed Black Sparrow air-launched ballistic missile, fired from F-15s.",https://www.cnn.com/world/live-news/israel-iran-attack-02-28-26-hnk-intl?post-id=cmm60wotj001m3b6pawhvknhc | https://news.usni.org/2026/02/28/u-s-israel-launch-operation-epic-fury-against-iran-tehran-retaliates-across-region | https://www.timesofisrael.com/liveblog_entry/idf-says-200-jets-involved-in-air-forces-largest-ever-attack-sortie/ | https://www.nytimes.com/2026/03/01/world/middleeast/iran-israel-strikes.html
wiki_20260228_jordan_said_that_its_armed_for_157,wikipedia,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war,2026-02-28,Jordan said that its armed forces had shot down two Iranian ballistic missiles t,Iran,Iran,ballistic_missile,TRUE,TRUE,29.37525,34.96357,Jordan said that its armed forces had shot down two Iranian ballistic missiles targeting its territory and that it had handled 54 reports of falling debris that caused material damage but no casualties.,https://www.kurdistan24.net/en/story/896852/slug | https://jordantimes.com/news/breaking-news/air-defense-systems-intercepted-two-ballistic-missiles-targeting-jordanian-territory-jaf? | https://x.com/reuters/status/2027694362000232922 | https://www.nytimes.com/live/2026/02/28/world/iran-strikes-trump/e2cbeaee-d0e3-53a3-b989-2d70013ae649
iransm_s023,iranstrikemap,https://iranstrikemap.com,2026-02-28,Karaj — Military Targets,,unknown,airstrike,TRUE,FALSE,35.84,50.9391,"Strikes on Karaj, industrial city west of Tehran. Home to centrifuge production facilities.",Wikipedia | Reuters
iransm_s017,iranstrikemap,https://iranstrikemap.com,2026-02-28,Kataib Hezbollah Base,Iraq,US,airstrike,TRUE,FALSE,33.35,44.366,US airstrikes on Iraqi military base housing Kataib Hezbollah southeast of Baghdad. 4 explosions heard. 2 killed per AFP.,AFP | Mustafa Salim (X) | TWZ
iransm_s024,iranstrikemap,https://iranstrikemap.com,2026-02-28,Kermanshah — Military Targets,,unknown,airstrike,TRUE,FALSE,34.3142,47.065,Strikes on Kermanshah in western Iran near the Iraqi border. IRGC facilities in the area.,Wikipedia
iransm_s001,iranstrikemap,https://iranstrikemap.com,2026-02-28,Khamenei Compound,Iran,Israel,airstrike,TRUE,FALSE,35.7448,51.5185,Israel's opening strike. Airbus satellite imagery confirms multiple destroyed/heavily damaged structures within the compound. Khamenei evacuated beforehand.,NYT | Reuters | AP | Airbus Satellite
iransm_s043,iranstrikemap,https://iranstrikemap.com,2026-02-28,Kuwait International Airport — Iranian Drone Strike,Kuwait,Iran,drone,TRUE,TRUE,29.2266,47.9689,"Iranian drone crashed into Kuwait International Airport, wounding several employees. Limited damage to terminal. Separate from strikes on Ali al-Salem Air Base.",BBC | KUNA | Guardian
iransm_s007,iranstrikemap,https://iranstrikemap.com,2026-02-28,Mehrabad Air Base,Iran,Israel,airstrike,TRUE,FALSE,35.6892,51.3131,"Israeli F-35s struck this major military airfield in western Tehran. Runway cratered, hangars destroyed.",Reuters | AP
iransm_s013,iranstrikemap,https://iranstrikemap.com,2026-02-28,Ministry of Intelligence,Iran,unknown,airstrike,TRUE,FALSE,35.735,51.445,Separate NYT-verified video captures strike near Iran's Ministry of Intelligence. Part of second wave targeting command infrastructure.,NYT | NDTV
iransm_s014,iranstrikemap,https://iranstrikemap.com,2026-02-28,Narmak Neighborhood (Ahmadinejad residence area),Iran,unknown,airstrike,TRUE,FALSE,35.758,51.475,"NYT-verified: Strike hit 72nd Square in Narmak district (northeastern Tehran). Former President Mahmoud Ahmadinejad confirmed killed here — Iranian state media (ILNA), Xinhua, Guardian, Reuters (March 1, 2026). Strike also struck Hedayat High School — 2 students confirmed killed per NYT (citing Mehr news agency). Buildings and cars ablaze. Second school struck during the conflict.",NYT | ILNA | Xinhua | Guardian | Reuters
wiki_20260228_on_28_february_2026_16_people__70,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Qatar,2026-02-28,"On 28 February 2026, 16 people were injured by shrapnel following the intercepti",Qatar,Iran,intercepted_debris,TRUE,TRUE,,,"On 28 February 2026, 16 people were injured by shrapnel following the interception of an Iranian missile barrage by Qatari air defenses. According to the head of Qatar's Ministry of the Interior, 66 missiles were fired in total and there were over 100 reports of falling shrapnel across the nation. The Ministry later alerted the public of the attack.",https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Qatar
wiki_20260228_on_28_february_2026_a_joint_mi_92,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Bahrain,2026-02-28,"On 28 February 2026, a joint missile operation was coordinated by the United Sta",Iran,Iran,airstrike,TRUE,FALSE,,,"On 28 February 2026, a joint missile operation was coordinated by the United States and Israel, striking multiple targets in Iran. US President Donald Trump stated that the strikes were part of an effort to initiate a regime change among other goals including those related to the halting of Iran's nuclear program. Following the strikes, the Iranian government retaliated across the Persian Gulf, with airstrikes hitting countries across the region.",https://www.gdnonline.com/Details/1378211/REPREHENSIBLE-Young-Bahraini-woman-killed-by-debris-after-drone-smashes-into-tower-block | https://www.timesofisrael.com/liveblog_entry/trump-indicates-goal-of-iran-strikes-is-to-topple-regime-tells-iranian-people-when-we-are-finished-take-over-your-government/ | https://www.washingtonpost.com/investigations/2026/02/28/where-us-attack-iran-images-video/
wiki_20260228_on_28_february_2026_following__12,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_the_United_Arab_Emirates,2026-02-28,"On 28 February 2026, following the coordinated 2026 Israeli–United States strike",Israel,Iran,ballistic_missile,TRUE,FALSE,,,"On 28 February 2026, following the coordinated 2026 Israeli–United States strikes on Iran, the Islamic Republic of Iran launched a multiday series of missile and drone airstrikes on the United Arab Emirates. By 17 March, Iran had launched 314 ballistic missiles, 1,672 drone attacks and 15 cruise missiles (according to UAE ministry) to targets in the UAE. The attacks have killed 8 people, including 2 military personnel, and injured 157 others.",https://x.com/modgovae/status/2033871600345616444
wiki_20260228_on_28_february_2026_following__90,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Bahrain,2026-02-28,"On 28 February 2026, following the initial strikes during the 2026 Iran war, Ira",Iran,Iran,drone,TRUE,TRUE,27.47611,52.6075,"On 28 February 2026, following the initial strikes during the 2026 Iran war, Iran conducted retaliatory missile and drone strikes on Bahrain, hitting multiple buildings in the capital Manama including the district of Juffair, where the US Navy's 5th Fleet is headquartered at Naval Support Activity Bahrain.",https://www.gdnonline.com/Details/1378211/REPREHENSIBLE-Young-Bahraini-woman-killed-by-debris-after-drone-smashes-into-tower-block
iransm_s026,iranstrikemap,https://iranstrikemap.com,2026-02-28,Parchin Military Complex,Iran,unknown,airstrike,TRUE,FALSE,35.5122,51.6728,Explosive research testing facility struck. Confirmed by CSIS and Middle East Forum. Vision analysis of Telegram video shows munitions cookoff consistent with weapons storage. Known facility for missile component manufacturing and explosives testing.,War Monitor | Vahid Online | CSIS | MEF
iransm_s012,iranstrikemap,https://iranstrikemap.com,2026-02-28,Presidential Palace & National Security Council,Iran,unknown,airstrike,TRUE,FALSE,35.7,51.42,"NYT-verified video shows strikes hitting area containing presidential palace, National Security Council, and key government buildings. Second wave of strikes.",NYT | NDTV
iransm_s029,iranstrikemap,https://iranstrikemap.com,2026-02-28,Prince Sultan Air Base — Iranian Missile Strike,Saudi Arabia,Iran,missile,TRUE,FALSE,24.7136,46.6753,Iran fired short-range missiles at Prince Sultan Air Base near Riyadh. Saudi Arabia stated it 'will take all necessary measures to defend its security.' IRGC confirmed targeting the base. Per CSIS/Al Arabiya.,Al Arabiya | Reuters | CSIS | Guardian
iransm_s022,iranstrikemap,https://iranstrikemap.com,2026-02-28,Qom — Military/Government Targets,,unknown,airstrike,TRUE,FALSE,34.6401,50.8764,"Strikes on Qom, a major religious and political center. Specific targets TBC.",Wikipedia | Reuters
iransm_s040,iranstrikemap,https://iranstrikemap.com,2026-02-28,Shiraz — Southern Command Hub,,unknown,airstrike,TRUE,FALSE,29.5918,52.5837,"Strikes on Shiraz, a major military hub in southern Iran. Home to IRGC air force installations.",Al Jazeera | Pravda | Indian Express
iransm_s055,iranstrikemap,https://iranstrikemap.com,2026-02-28,Sultan's Pool / Near Temple Mount — Iranian Ballistic Missile Warhead Impact,Israel,Iran,missile,TRUE,FALSE,31.7738,35.2243,"The warhead of an Iranian ballistic missile impacted Sultan's Pool, an outdoor events venue located just a few dozen meters west of the Old City of Jerusalem — less than one kilometer from the Temple Mount and Western Wall. Israel Police discovered the warhead and 'incendiary and explosive materials' scattered nearby during searches. The explosion was heard in the area on Saturday shortly after the US-Israeli strikes on Iran commenced, and smoke was seen rising from the site. First confirmed Iranian missile impact this close to Jerusalem's Old City.",Israel Police (official statement) | Times of Israel liveblog March 1 2026
iransm_s008,iranstrikemap,https://iranstrikemap.com,2026-02-28,Tabriz Military Airfield,Iran,Israel,airstrike,TRUE,TRUE,38.1339,46.2351,Israeli strike on northwestern Iran airfield. Hangar and fuel storage damage reported.,Reuters
iransm_s033,iranstrikemap,https://iranstrikemap.com,2026-02-28,US Navy 5th Fleet HQ — Iranian Missile Strike,Bahrain,Iran,missile,TRUE,FALSE,26.2285,50.586,"Iranian missile struck the headquarters of the US Navy's 5th Fleet in Manama, Bahrain. Huge plumes of black smoke seen rising from the area. IRGC confirmed targeting the base. Bahrain confirmed the attack.",BBC | Guardian | Bahrain MoD | CNN
iransm_s039,iranstrikemap,https://iranstrikemap.com,2026-02-28,Urmia — Military Targets,,unknown,airstrike,TRUE,TRUE,37.5527,45.0761,"Strikes reported in Urmia, far northwest Iran near Turkey border. Specific targets TBC.",Al Jazeera | Fars News | Indian Express
iransm_s020,iranstrikemap,https://iranstrikemap.com,2026-02-28,Vehicles & Buildings — Residential Damage,Iran,unknown,airstrike,TRUE,FALSE,35.68,51.39,Footage shows flames engulfing cars and buildings destroyed in Tehran. Collateral damage from nearby strikes.,The Guardian | Reuters
iransm_s025,iranstrikemap,https://iranstrikemap.com,2026-02-28,Zanjan — Ballistic Missile Infrastructure,,unknown,airstrike,TRUE,FALSE,36.6736,48.4787,"Massive explosion in Zanjan, northwestern Iran. Ballistic missile launching infrastructure struck. Enormous fireball visible.",BBC Persian | OSINT channels
iransm_s036,iranstrikemap,https://iranstrikemap.com,2026-02-28,Zayed International Airport — Iranian Missile Strike,United Arab Emirates,Iran,missile,TRUE,TRUE,24.4281,54.6511,"Iranian ballistic missile debris struck Zayed International Airport in Abu Dhabi. 1 killed (Pakistani national), 7 injured. Abu Dhabi Airports confirmed the incident then deleted the post.",Wikipedia | NBC | Abu Dhabi Airports
